VendorNumber,VendorName,Brand,Description,Volume,TotalPurchaseQuantity,ActualPrice,PurchasePrice,TotalPurchaseDollars,TotalSalesDollars,TotalSalesQuantity,AverageSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
660,SAZERAC NORTH AMERICA INC.,2783,Lauders Scotch,1750.0,9191,14.99,10.06,92461.460000001,137384.41000000533,9159.0,79631.07000000226,16831.57000000059,17932.329999999994,-47538.50999999669,0.32698724695183823,0.9965183331519966,1.4858559447363673
1392,CONSTELLATION BRANDS INC,3220,Svedka Clementine Vodka,1750.0,6272,18.99,14.72,92323.84000000112,108114.91000000396,5609.0,75140.11000000032,10309.530000000394,79528.99,-76532.76999999832,0.1460582078827265,0.8942920918367347,1.1710400044019251
3252,E & J GALLO WINERY,34427,Frei Bros RSV Cab Svgn Alex,750.0,6685,21.99,13.81,92319.85000000036,119405.5800000014,5774.0,65796.89999999755,641.8700000000304,61966.91,-65234.119999999326,0.22683805899188905,0.8637247569184742,1.293390099745623
12546,JIM BEAM BRANDS COMPANY,361,Effen Cucumber Vodka,750.0,6458,19.99,14.28,92220.2399999983,132057.08000000592,6292.0,88348.26000000331,4957.829999999919,123880.97,-52383.39999999068,0.3016637956859703,0.974295447506968,1.431975019800516
9165,ULTRA BEVERAGE COMPANY LLP,18013,Cecchi Sangiovese,750.0,19643,7.99,4.69,92125.66999999924,153620.59000000378,19741.0,55814.14999999668,2206.729999999888,68054.70000000003,-30630.749999994678,0.40030389155518165,1.0049890546250573,1.6675112376388153
3960,DIAGEO NORTH AMERICA INC,8440,Bailey's Espresso Creme,750.0,6255,18.99,14.72,92073.59999999969,115722.08000000316,5692.0,77717.91000000114,4485.549999999947,257032.0700000001,-68425.11999999618,0.20435581524288907,0.909992006394884,1.2568432210753524
660,SAZERAC NORTH AMERICA INC.,5367,Sambuca di Amore,750.0,15786,9.99,5.83,92032.38000000114,146209.51000000528,15699.0,70905.95999999814,12361.370000000676,17932.329999999994,-37855.249999997,0.3705445015170503,0.9944887875332572,1.588674659940376
480,BACARDI USA INC,1330,Grey Goose Glass Pack,1750.0,2403,49.99,38.27,91962.80999999976,136831.10000000076,2690.0,59877.28999999936,4943.320000000054,89286.26999999999,-47094.51999999877,0.3279100292258174,1.1194340407823553,1.4878960310151583
1128,BROWN-FORMAN CORP,405,Jack Daniels & Coke,1750.0,3232,36.99,28.45,91950.4,120414.65000000126,3235.0,50068.559999999605,5944.140000000081,68601.68000000001,-63486.14999999873,0.23638527371877896,1.0009282178217822,1.3095609154500825
9165,ULTRA BEVERAGE COMPANY LLP,32831,Carpineto Dogajolo Tuscan Rd,750.0,13610,11.99,6.75,91867.5,181998.88000000117,16312.0,74581.7900000001,1820.8299999998624,68054.70000000003,-1736.1199999988603,0.495230410209121,1.1985304922850846,1.9811019130813523
3252,E & J GALLO WINERY,11957,Souverain Cab Svgn N Cst,750.0,9246,14.99,9.93,91812.78000000116,110650.75000000492,9185.0,56664.54999999679,1022.4800000000572,61966.91,-72974.8099999974,0.17024710632330028,0.9934025524551158,1.2051780808728756
8664,"STOLI GROUP,(USA) LLC",3487,Stolichnaya Blueberi,750.0,7187,16.99,12.77,91777.99000000056,130139.78000000693,7122.0,89081.3300000046,5611.809999999852,18544.49,-53416.19999999424,0.2947737425098177,0.990955892583832,1.41798463880072
1128,BROWN-FORMAN CORP,62,Herradura Silver Tequila,750.0,3200,36.99,28.67,91744.0000000001,119863.75000000336,3125.0,90154.51000000212,2463.1799999999585,68601.68000000001,-63624.24999999684,0.23459761604323634,0.9765625,1.3065023325776424
17035,PERNOD RICARD USA,22019,Mumm Napa Brut Rose,750.0,9424,14.99,9.73,91695.5199999996,167619.57000000103,9803.0,72758.6100000003,1093.6600000000317,123780.21999999996,-15771.46999999814,0.45295456849102383,1.040216468590832,1.828001738798164
2242,DELICATO VINEYARDS INC,44334,Noble Vines 337 Cab Svgn,750.0,11671,11.99,7.84,91500.64000000089,142137.78000000308,11622.0,61009.44999999722,1296.41000000001,7982.649999999999,-40863.49999999866,0.3562539108180886,0.9958015594207864,1.553407495291855
3252,E & J GALLO WINERY,7716,Andre Brut,750.0,24130,5.99,3.79,91452.7000000006,140239.79000000327,23971.0,34153.77000000351,2686.9799999999277,61966.91,-42665.60999999795,0.34788336462855185,0.993410692084542,1.5334680113326598
1587,VINEYARD BRANDS INC,8018,La Vieille Ferme Red Ventoux,750.0,19854,6.99,4.6,91328.39999999902,141699.280000003,19622.0,41103.320000000655,2196.0599999999504,6070.089999999999,-40957.51999999504,0.3554773178805348,0.9883146972902186,1.5515357763850512
12546,JIM BEAM BRANDS COMPANY,1397,Jim Beam Kentucky Fire,750.0,8484,16.99,10.76,91287.83999999992,122786.30000000742,8220.0,87668.31000000497,6478.119999999729,123880.97,-59789.37999999242,0.25653073673533283,0.9688826025459688,1.3450455175629912
2561,EDRINGTON AMERICAS,2522,The Macallan 10 Yr Fine Oak,750.0,2466,47.99,36.92,91044.71999999975,117841.64000000282,2336.0,95408.1000000022,1842.2699999999556,9654.500000000002,-64247.799999996685,0.2273977178186117,0.9472830494728304,1.2943270076507802
3252,E & J GALLO WINERY,16806,Apothic Winemakers White,750.0,17166,9.99,5.3,90979.80000000102,147400.08000000444,16757.0,59058.70999999448,1871.2899999999015,61966.91,-34559.5199999976,0.3827696701385896,0.9761738319934756,1.620140734536708
3960,DIAGEO NORTH AMERICA INC,4390,Ron Zacapa 23 Yr Old Rum,750.0,2721,45.99,33.33,90690.92999999992,117983.73000000302,2627.0,92277.48000000222,2071.119999999952,257032.0700000001,-63398.12999999682,0.2313268109086092,0.9654538772510106,1.3009429939686703
6213,MHW LTD,5221,RumChata Liqueur,375.0,10557,11.99,8.59,90684.63000000066,122543.95000000585,10355.0,75001.14000000089,4063.00999999986,9621.580000000002,-58825.30999999549,0.2599828061687555,0.9808657762621956,1.3513199535577851
3924,HEAVEN HILL DISTILLERIES,4382,Admiral Nelson Spiced Rum,1750.0,8686,13.99,10.44,90681.83999999908,122358.39000000549,8561.0,66565.82999999766,15732.310000000558,14069.869999999995,-59005.289999992674,0.2588833507862026,0.985609026018881,1.3493152543001634
1392,CONSTELLATION BRANDS INC,2117,Black Velvet Traveler,750.0,15415,8.99,5.88,90640.19999999851,129924.08000001476,15292.0,87257.53000000822,12047.210000001454,79528.99,-51356.3199999823,0.3023602707058752,0.9920207590009732,1.4334046041383055
1128,BROWN-FORMAN CORP,8910,Finlandia Vodka,50.0,117443,0.99,0.77,90431.10999999994,114950.88000000211,116112.0,15089.579999997142,6087.7000000004255,68601.68000000001,-65911.33999999777,0.2133065010028781,0.9886668426385564,1.2711430833924542
11567,CAMPARI AMERICA,3515,Skyy Infusions Citrus Vodka,1750.0,5821,19.99,15.5,90225.5,121365.26000000534,5974.0,83154.21000000238,10980.060000000423,20964.81,-59085.739999994665,0.2565788595517693,1.026284143617935,1.3451325844689732
8150,SEA HAGG DISTILLERY LLC,3598,Ice Pik Vodka,750.0,8830,13.99,10.21,90154.2999999998,106611.16000000398,7884.0,51258.199999998855,6209.579999999838,935.52,-73697.43999999565,0.15436338934876576,0.8928652321630804,1.182541043522097
8004,SAZERAC CO INC,3899,Platinum 7X Distilled Vodka,375.0,40916,2.99,2.2,90015.20000000013,162720.18000000835,40782.0,62275.91999999073,16036.490000000564,50293.62000000002,-17310.21999999191,0.4468098548072187,0.9967249975559684,1.80769670011296
1392,CONSTELLATION BRANDS INC,6647,Estancia Chard,750.0,18021,8.99,4.99,89924.79000000047,163534.02999999982,18847.0,56577.50999999701,2107.739999999941,79528.99,-16315.550000001123,0.4501157343214708,1.0458354142389434,1.8185644915045005
1392,CONSTELLATION BRANDS INC,6938,Vendange Chard,1500.0,19157,9.99,4.69,89846.3299999983,150520.8100000044,18819.0,55724.59999999696,4223.369999999607,79528.99,-29171.84999999221,0.4030969538365115,0.9823563188390668,1.675313949941052
8004,SAZERAC CO INC,5297,Southern Comfort,750.0,8334,13.99,10.76,89673.84000000004,123209.93000000552,8807.0,67040.07999999744,6937.109999999766,50293.62000000002,-56137.74999999456,0.27218658431186493,1.056755459563235,1.373978520380141
8004,SAZERAC CO INC,5296,Southern Comfort 100 Proof,1750.0,4262,28.99,21.01,89544.61999999982,99957.52000000238,3448.0,68793.26999999909,6337.640000000199,50293.62000000002,-79131.71999999727,0.10417325279781159,0.8090098545283905,1.1162872766672367
9552,M S WALKER INC,3041,Zhenka Pink Lemonade Vodka,1750.0,15351,9.99,5.83,89496.33000000069,140309.83000000485,15317.0,58415.62999999664,28145.58999999941,55551.81999999999,-38682.82999999653,0.362152102956738,0.9977851605758582,1.5677718851711997
3924,HEAVEN HILL DISTILLERIES,5165,Hpnotiq Liqueur,750.0,6713,19.99,13.33,89484.28999999994,126652.06000000688,6594.0,91046.62000000448,5196.919999999869,14069.869999999995,-52316.519999993005,0.2934636041451274,0.9822732012513036,1.4153552539781782
17035,PERNOD RICARD USA,3584,Absolut Raspberri,750.0,7164,16.99,12.49,89478.36000000022,126690.22000000806,7178.0,93176.25000000556,5657.629999999834,123780.21999999996,-52266.499999992375,0.2937232250445652,1.0019542155220549,1.4158755256579103
3252,E & J GALLO WINERY,8189,Camarena Silver Tequila,1750.0,3490,31.99,25.59,89309.09999999941,136885.21000000424,4279.0,102112.08000000464,7866.390000000292,61966.91,-41732.98999999458,0.3475620923546332,1.2260744985673353,1.5327129038362848
3960,DIAGEO NORTH AMERICA INC,3820,Smirnoff Citrus Vodka,1750.0,6699,22.99,13.33,89297.67,138642.8100000046,6719.0,95962.6100000059,12350.250000000504,257032.0700000001,-39952.5299999954,0.3559156078847721,1.0029855202268996,1.5525915737779563
9819,TREASURY WINE ESTATES,39146,Matua Svgn Bl Marlboro,750.0,13672,9.99,6.53,89278.16000000086,157800.2700000032,13573.0,60797.19999999692,1516.229999999966,14836.570000000003,-20756.049999998533,0.43423316069104917,0.9927589233469866,1.767512569703516
4425,MARTIGNETTI COMPANIES,42874,Decoy by Duckhorn Red Sonoma,750.0,7835,21.99,11.38,89162.29999999976,137588.80999999997,7259.0,61867.189999996925,809.3800000000301,144929.24,-40735.78999999954,0.35196546870345213,0.9264837268666242,1.543127644755691
12546,JIM BEAM BRANDS COMPANY,4686,Courvoisier VS Cognac,1750.0,2075,54.99,42.96,89141.99999999984,108205.74000000172,2026.0,76588.74000000028,3724.35000000006,123880.97,-70078.25999999796,0.1761804872828519,0.9763855421686748,1.2138581140203486
12546,JIM BEAM BRANDS COMPANY,4410,Cruzan Mango Flavored Rum,750.0,11240,9.99,7.93,89133.20000000148,113891.9600000082,11304.0,66591.8999999961,8904.169999999924,123880.97,-64374.43999999477,0.21738812818749398,1.0056939501779358,1.277772592030874
9165,ULTRA BEVERAGE COMPANY LLP,24829,Cecchi Chianti Classico,750.0,11824,11.99,7.53,89034.72000000044,133815.98000000618,11502.0,62216.01999999669,1281.949999999994,68054.70000000003,-44253.459999994695,0.3346480741687478,0.972767253044655,1.5029640122415786
8112,MOET HENNESSY USA INC,39523,Cloudy Bay Svgn Bl Marlboro,750.0,5728,22.99,15.53,88955.84000000021,132992.920000002,5508.0,52307.42999999936,615.0500000000183,48347.26,-44918.75999999844,0.3311234913858656,0.9615921787709496,1.4950442826463295
7245,PROXIMO SPIRITS INC.,2951,Old Bushmills Irish Whiskey,1750.0,3087,39.99,28.78,88843.85999999924,129456.65000000414,3135.0,100769.63000000358,5763.890000000195,38994.78000000001,-48231.069999994346,0.31371729455384173,1.0155490767735669,1.457125455827845
2242,DELICATO VINEYARDS INC,42462,Gnarly Head Old Vine Znfdl,750.0,12885,9.99,6.89,88777.64999999905,125609.92000000615,12592.0,58040.12999999772,1403.3699999999762,7982.649999999999,-51945.37999999193,0.29322739796351516,0.9772603802871556,1.4148822366891611
7239,REMY COINTREAU USA INC,2280,The Botanist Islay Dry Gin,750.0,3239,36.99,27.4,88748.59999999979,99373.38000000246,2662.0,78847.89000000071,2098.839999999954,16978.669999999995,-78123.81999999711,0.10691776811860895,0.8218585983328188,1.1197177194908168
1392,CONSTELLATION BRANDS INC,38850,Ravenswood Vntrs Bl Cab Svgn,750.0,19075,7.99,4.65,88698.75000000083,143317.35000000047,19025.0,49594.87000000061,2126.929999999877,79528.99,-34080.15000000119,0.3811024973598763,0.9973787680209698,1.61577643427894
12546,JIM BEAM BRANDS COMPANY,8673,Skinnygirl Margarita,750.0,11267,9.99,7.87,88671.2900000008,122034.44000000706,11256.0,64475.39999999645,8864.369999999897,123880.97,-55308.13999999453,0.27339126561325094,0.999023697523742,1.3762565087302323
480,BACARDI USA INC,2628,Dewars Special RSV 12-Yr,750.0,3780,31.99,23.43,88565.40000000034,112630.53000000348,3547.0,89305.95000000278,2796.8699999999585,89286.26999999999,-64500.2699999972,0.21366435903304717,0.9383597883597884,1.2717215752427364
8004,SAZERAC CO INC,3218,Firefly Sweet Tea Vodka,750.0,8654,12.99,10.23,88530.41999999933,114734.52000000708,8548.0,71182.95999999915,6734.349999999784,50293.62000000002,-62326.31999999158,0.22838898005592503,0.9877513288652646,1.295989785206124
9819,TREASURY WINE ESTATES,19636,Ch St Jean Chard Sonoma Cst,750.0,11075,11.99,7.99,88489.25000000071,118760.95000000374,9905.0,50310.03999999895,1105.4600000000264,14836.570000000003,-58217.54999999769,0.2548960748461685,0.8943566591422122,1.342094661215942
1587,VINEYARD BRANDS INC,7302,Marques de Caceres Rioja Re,750.0,13777,10.99,6.42,88448.33999999928,147412.1500000031,13085.0,63660.18999999768,1459.6099999999608,6070.089999999999,-29484.52999999546,0.39999287711360687,0.9497713580605356,1.666646881106014
8352,LUXCO INC,2132,Lord Calvert Canadian,1750.0,8644,12.99,10.23,88428.12000000008,113264.1900000027,8581.0,44604.23999999999,15766.7100000004,10261.599999999997,-63592.04999999747,0.21927557156416358,0.9927117075428042,1.2808616761274874
660,SAZERAC NORTH AMERICA INC.,4626,Meukow VS Cognac,750.0,7898,24.49,11.19,88378.61999999947,131418.29000000385,7521.0,56810.56999999855,5924.009999999916,17932.329999999994,-45338.94999999509,0.32750136986262046,0.95226639655609,1.4869918765421393
9552,M S WALKER INC,12213,Evodia Garnacha Old Vine,750.0,16697,8.99,5.29,88327.13000000025,145025.77000000424,16723.0,58239.71999999676,1867.849999999882,55551.81999999999,-31628.489999996265,0.3909556211975453,1.0015571659579563,1.641916475719338
3664,WILLIAM GRANT & SONS INC,1228,Glenfiddich Ancient RSV 18,750.0,1263,95.99,69.76,88106.87999999976,112533.70000000116,1130.0,92510.72000000102,891.2299999999964,30234.42000000001,-63680.05999999837,0.21706226668101336,0.894695170229612,1.2772407784727078
17035,PERNOD RICARD USA,859,Beefeater Gin,1000.0,5093,22.99,17.29,88057.97000000007,116057.94000000402,5006.0,77401.63000000085,5256.300000000222,123780.21999999996,-60057.99999999613,0.2412585472394476,0.9829177302179462,1.3179720132090704
4425,MARTIGNETTI COMPANIES,24996,Lincourt Steel Chard,750.0,12861,9.99,6.84,87969.2400000003,119730.15000000397,11985.0,43186.77000000019,1339.6799999999675,144929.24,-56208.32999999663,0.26527077766128765,0.9318871005365056,1.361045633678358
3252,E & J GALLO WINERY,2152,New Amsterdam Gin,750.0,12182,9.99,7.19,87588.57999999888,128623.70000001173,12030.0,86822.93000000594,9478.420000000358,61966.91,-46553.45999998604,0.3190323400742562,0.987522574289936,1.4684985188709918
660,SAZERAC NORTH AMERICA INC.,8370,Chi Chi's Margarita,1750.0,15333,8.99,5.71,87551.42999999813,130515.9700000085,15303.0,68211.87999999667,28118.529999998664,17932.329999999994,-44586.88999998776,0.3291899067984368,0.9980434357268636,1.490734874347698
3960,DIAGEO NORTH AMERICA INC,3609,Smirnoff Vanilla Vodka,50.0,118058,0.99,0.74,87362.92000000029,115081.56000000304,116244.0,16830.98999999758,6090.300000000537,257032.0700000001,-59644.27999999754,0.240860829484776,0.9846346710938692,1.317281519436423
480,BACARDI USA INC,4229,Bacardi Black,1750.0,5924,19.99,14.7,87082.7999999989,128167.90000000672,6010.0,88506.71000000376,11047.400000000427,89286.26999999999,-45997.69999999108,0.32055686330200983,1.0145172180958812,1.4717935114627496
660,SAZERAC NORTH AMERICA INC.,1479,Ten High,1750.0,9433,11.99,9.22,86972.2600000018,131845.70000000557,9380.0,71548.13999999894,17236.210000000472,17932.329999999994,-42098.81999999803,0.34034814938979335,0.9943814269055444,1.515951177996327
1128,BROWN-FORMAN CORP,63,Herradura Reposado Tequila,750.0,2855,38.99,30.46,86963.29999999968,112249.22000000309,2778.0,88553.10000000185,2190.4499999999503,68601.68000000001,-61677.37999999629,0.22526588603468878,0.9730297723292468,1.2907654148359535
17035,PERNOD RICARD USA,3085,Absolut Mini Bar 5/50mls,50.0,18419,5.99,4.72,86937.6799999995,123563.28000000647,17072.0,57312.25999999669,878.96999999998,123780.21999999996,-50312.07999999252,0.29641168476593577,0.9268689939736142,1.4212856841821313
17035,PERNOD RICARD USA,3591,Absolut Vanilia,750.0,6448,16.99,13.48,86919.03999999962,112144.66000000488,6334.0,76639.80000000077,4992.089999999879,123780.21999999996,-61693.41999999435,0.2249382181907205,0.9823200992555832,1.2902197263108908
12546,JIM BEAM BRANDS COMPANY,2696,McClelland Highland Sgl Malt,1750.0,3439,37.99,25.19,86628.40999999958,125199.8000000046,3420.0,99736.79000000368,6287.900000000225,123880.97,-48057.01999999456,0.30807868702668534,0.994475138121547,1.4452510440859436
